"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C5";"CP_Radial_D10.0mm_P5.00mm";1;"100u";;;
2;"U2";"forward_converter_transformer";1;"designed_transformer_model";;;
3;"Q1";"TO-220-3_Vertical";1;"IRF740";;;
4;"C1";"CP_Radial_D10.0mm_P5.00mm";1;"100p";;;
5;"C2";"CP_Radial_D10.0mm_P5.00mm";1;"10n";;;
6;"C3";"CP_Radial_D10.0mm_P5.00mm";1;"0.1u";;;
7;"C4";"CP_Radial_D10.0mm_P5.00mm";1;"4.7u";;;
8;"D1,D2,D3";"TO-220-2_Vertical";3;"D";;;
9;"L1";"fw_inductor";1;"470u";;;
10;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"16.2k";;;
11;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"49.9k";;;
12;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"200k";;;
13;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"32.4k";;;
14;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"0.01";;;
15;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"83.75k";;;
16;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10k";;;
17;"U1";"MSOP-10_3x3mm_P0.5mm";1;"LT3758";;;
18;"J1,J2,J3,J4";"BNC_PanelMountable_Vertical";4;"Conn_Coaxial";;;
